link_num,string,link,date,date_sent,clicks,Value Only
16,Garden Days Alliance Medical Ministry,https://activategood.org/nonprofit/262,04/03/19,04/03/19 13:45:34,5,https://activategood.org/opportunity/4273#tab-what
16,Garden Days Alliance Medical Ministry,https://activategood.org/nonprofit/262,04/03/19,04/03/19 13:45:34,5,https://activategood.org/opportunity/4505#tab-what
16,Garden Days Alliance Medical Ministry,https://activategood.org/nonprofit/262,04/03/19,04/03/19 13:45:34,5,https://activategood.org/opportunity/2544#tab-what
16,Garden Days Alliance Medical Ministry,https://activategood.org/nonprofit/262,04/03/19,04/03/19 13:45:34,5,https://activategood.org/nonprofit/262
16,Garden Days Alliance Medical Ministry,https://activategood.org/nonprofit/262,04/03/19,04/03/19 13:45:34,5,https://activategood.org/opportunity/4445#tab-what
16,Garden Days Alliance Medical Ministry,https://activategood.org/nonprofit/262,04/03/19,04/03/19 13:45:34,5,https://activategood.org/opportunity/3106#tab-what
16,Garden Days Alliance Medical Ministry,https://activategood.org/nonprofit/262,04/03/19,04/03/19 13:45:34,5,https://activategood.org/opportunity/4508
16,Garden Days Alliance Medical Ministry,https://activategood.org/nonprofit/262,04/03/19,04/03/19 13:45:34,5,https://activategood.org/spreading-good-junior-youth-group-of-tryon-pines/
16,Garden Days Alliance Medical Ministry,https://activategood.org/nonprofit/262,04/03/19,04/03/19 13:45:34,5,https://activategood.org/improve-your-health-by-volunteering/
17,Beautify Durham School,https://activategood.org/opportunity/4445#tab-what,04/03/19,04/03/19 13:45:34,6,https://activategood.org/nvw2019
17,Beautify Durham School,https://activategood.org/opportunity/4445#tab-what,04/03/19,04/03/19 13:45:34,6,https://activategood.org/teenschangetheworld2019/
17,Beautify Durham School,https://activategood.org/opportunity/4445#tab-what,04/03/19,04/03/19 13:45:34,6,https://activategood.org/teenschangetheworld2019/support/
17,Beautify Durham School,https://activategood.org/opportunity/4445#tab-what,04/03/19,04/03/19 13:45:34,6,https://activategood.org/opportunity/614#tab-what
17,Beautify Durham School,https://activategood.org/opportunity/4445#tab-what,04/03/19,04/03/19 13:45:34,6,https://activategood.org/opportunity/4447#tab-what
17,Beautify Durham School,https://activategood.org/opportunity/4445#tab-what,04/03/19,04/03/19 13:45:34,6,https://activategood.org/opportunity/4273#tab-what
17,Beautify Durham School,https://activategood.org/opportunity/4445#tab-what,04/03/19,04/03/19 13:45:34,6,https://activategood.org/opportunity/4505#tab-what
