"date","link_num","words_in_link","bolded","font_size","font_color","address"
"11/01/19",7,"Volunteer Director of Fundraising",TRUE,NA,NA,"https://activategood.org/opportunity/4890#tab-what"
"11/01/19",8,"Business Development Volunteer",TRUE,NA,NA,"https://activategood.org/opportunity/4805#tab-what"
"11/01/19",9,"Join the SOAR Outreach Board!",TRUE,NA,NA,"https://activategood.org/opportunity/4845#tab-what"
"11/01/19",10,"Warmth for Wake",TRUE,NA,NA,"https://activategood.org/opportunity/432#tab-what"
"11/01/19",11,"Theater Seat Restoration",TRUE,NA,NA,"https://activategood.org/opportunity/4905#tab-what"
"11/01/19",12,"Arts & Crafts",TRUE,NA,NA,"https://activategood.org/opportunity/4870#tab-what"
"11/01/19",13,"Lunch Delivery",TRUE,NA,NA,"https://activategood.org/opportunity/718#tab-what"
"11/01/19",14,"PUPPIES",TRUE,NA,NA,"https://activategood.org/opportunity/4894#tab-what"
"11/01/19",15,"Donation Sorting",TRUE,NA,NA,"https://activategood.org/opportunity/4896#tab-what"
"11/01/19",16,"View all current opportunities to make an impact",FALSE,NA,NA,"https://activategood.org/opportunity"
"11/01/19",17,"Activate Good",FALSE,NA,NA,"https://activategood.org/"
"11/01/19",18,"Support our work and help our impact grow",FALSE,NA,NA,"https://activategood.org/donate"
"11/01/19",19,"",FALSE,NA,NA,"https://www.facebook.com/activategood/"
"11/01/19",20,"",FALSE,NA,NA,"https://twitter.com/activategood"
"11/01/19",21,"",FALSE,NA,NA,"https://www.instagram.com/activategood/"
"12/03/19",1,"",FALSE,NA,NA,"https://activategood.org/"
"12/03/19",2,"#GivingTuesday",FALSE,NA,NA,"https://secure.lglforms.com/form_engine/s/Rkoj-1l4WVRIiWjqKEHuxA"
"12/03/19",3,"Support our work",TRUE,NA,NA,"https://secure.lglforms.com/form_engine/s/Rkoj-1l4WVRIiWjqKEHuxA"
"12/03/19",4,"Activate Good",TRUE,NA,NA,"https://activategood.org/"
"12/03/19",5,"",FALSE,NA,NA,"https://secure.lglforms.com/form_engine/s/Rkoj-1l4WVRIiWjqKEHuxA"
"12/03/19",6,"",FALSE,NA,NA,"https://secure.lglforms.com/form_engine/s/Rkoj-1l4WVRIiWjqKEHuxA"
"12/03/19",7,"#GivingTuesday",TRUE,NA,NA,"https://secure.lglforms.com/form_engine/s/Rkoj-1l4WVRIiWjqKEHuxA"
"12/03/19",8,"donations",TRUE,NA,NA,"https://secure.lglforms.com/form_engine/s/Rkoj-1l4WVRIiWjqKEHuxA"
"12/03/19",9,"Days of Service",TRUE,NA,NA,"https://activategood.org/daysofservice/"
"12/03/19",10,"over 500 causes",TRUE,NA,NA,"https://activategood.org/nonprofit"
"12/03/19",11,"Teens Change the World! Summer Program,",TRUE,NA,NA,"https://activategood.org/teenschangetheworld/"
"12/03/19",12,"The Good Hub",TRUE,NA,NA,"https://activategood.org/thegoodhub/"
"12/03/19",13,"Donate any amount - Every dollar helps!",FALSE,NA,NA,"http://www.activategood.org/singlegift"
"12/03/19",14,"",FALSE,NA,NA,"https://activategood.org/holidays2019"
"12/03/19",15,"our list",TRUE,NA,NA,"https://activategood.org/holidays2019"
"12/03/19",16,"here",TRUE,NA,NA,"https://activategood.org/holidays2019"
"12/03/19",17,"Join the Board!",TRUE,NA,NA,"https://activategood.org/opportunity/4845#tab-what"
"12/03/19",18,"Social Media Volunteer",TRUE,NA,NA,"https://activategood.org/opportunity/4817#tab-what"
"12/03/19",19,"Festival Merchandiser",TRUE,NA,NA,"https://activategood.org/opportunity/4932#tab-details"
"12/03/19",20,"Donation Pickup",TRUE,NA,NA,"https://activategood.org/opportunity/4915"
"12/03/19",21,"Volunteer Admin Assistant",TRUE,NA,NA,"https://activategood.org/opportunity/4945#tab-what"
"12/03/19",22,"Warmth for Wake",TRUE,NA,NA,"https://activategood.org/opportunity/432#tab-what"
"12/03/19",23,"Donation Sorting",TRUE,NA,NA,"https://activategood.org/opportunity/4917#tab-what"
"12/03/19",24,"Garden Work Day",TRUE,NA,NA,"https://activategood.org/opportunity/4946#tab-what"
"12/03/19",25,"Youth Tournament",TRUE,NA,NA,"https://activategood.org/opportunity/4944#tab-what"
"12/03/19",26,"View all current opportunities to make an impact",FALSE,NA,NA,"https://activategood.org/opportunity"
"12/03/19",27,"Activate Good",FALSE,NA,NA,"https://activategood.org/"
"12/03/19",28,"Support our work and help our impact grow",FALSE,NA,NA,"https://activategood.org/donate"
"12/03/19",29,"",FALSE,NA,NA,"https://www.facebook.com/activategood/"
"12/03/19",30,"",FALSE,NA,NA,"https://twitter.com/activategood"
"12/03/19",31,"",FALSE,NA,NA,"https://www.instagram.com/activategood/"
"01/03/20",1,"",FALSE,NA,NA,"https://activategood.org/"
"01/03/20",2,"",FALSE,NA,NA,"https://activategood.org/mlkday2020"
"01/03/20",3,"Martin Luther King Jr.",TRUE,NA,NA,"https://activategood.org/mlkday2020"
"01/03/20",4,"Day of Service 2020",TRUE,NA,NA,"https://activategood.org/mlkday2020"
