"date","link_num","words_in_link","is_image","bolded","font_size","font_color","address","dup"
"08/05/19",23,"",TRUE,FALSE,NA,NA,"https://www.instagram.com/activategood/",FALSE
"09/09/19",1,"",TRUE,FALSE,NA,NA,"https://activategood.org/",TRUE
"09/09/19",2,"Sign up",FALSE,TRUE,32,"(127,127,127)","https://activategood.org/911day2019",TRUE
"09/09/19",4,"Join us at the 9/11 Evening Commemoration + Service Projects!",FALSE,TRUE,40,"(57, 57, 57)","https://www.eventbrite.com/e/911-day-of-service-2019-evening-commemoration-service-projects-tickets-62352283358?fbclid=IwAR0wRO5ByqQzTC-56Bpc1bvUozPVmayUvkPOwlcf3PNUKzon8HdV7nt3pL8",FALSE
"09/09/19",5,"",TRUE,FALSE,NA,NA,"https://www.eventbrite.com/e/911-day-of-service-2019-evening-commemoration-service-projects-tickets-62352283358",FALSE
"09/09/19",6,"Join us",FALSE,TRUE,24,"(127,127,127)","http://911eveningcommemoration2019.eventbrite.com",FALSE
"09/09/19",7,"9/11 Day of Service Commemoration",FALSE,TRUE,26,"(0, 109, 131)","https://911eveningcommemoration2019.eventbrite.com",FALSE
"09/09/19",8,"facebook",FALSE,TRUE,18,"(0, 109, 131)","https://www.facebook.com/activategood/",TRUE
"09/09/19",9,"instagram",FALSE,TRUE,18,"(0, 109, 131)","https://www.instagram.com/activategood/",TRUE
"09/09/19",10,"twitter",FALSE,TRUE,18,"(0, 109, 131)","https://twitter.com/activategood",TRUE
"10/08/19",1,"",TRUE,FALSE,NA,NA,"https://activategood.org/",TRUE
"10/08/19",2,"Events page",FALSE,FALSE,18,"(55, 55, 55)","https://activategood.org/events",TRUE
"10/08/19",5,"Boys and Girls Club Sports Assistant",FALSE,TRUE,15,"(0,109,131)","https://activategood.org/opportunity/4869#tab-what",FALSE
"10/08/19",6,"Event Photographer",FALSE,TRUE,15,"(0,109,131)","https://activategood.org/opportunity/4849#tab-what",FALSE
"10/08/19",7,"Budgeting Advisor",FALSE,TRUE,15,"(0,109,131)","https://activategood.org/opportunity/4821#tab-what",FALSE
"10/08/19",8,"Red Cross Blood Delivery",FALSE,TRUE,15,"(0,109,131)","https://activategood.org/opportunity/4867#tab-what",FALSE
"10/08/19",9,"Dog House Volunteers",FALSE,TRUE,15,"(0,109,131)","https://activategood.org/opportunity/4836#tab-what",FALSE
"10/08/19",10,"Walnut Creek Elementary Wildcat Helpers",FALSE,TRUE,15,"(0,109,131)","https://activategood.org/opportunity/4753#tab-what",FALSE
"10/08/19",11,"Campus Beautification Day",FALSE,TRUE,15,"(0, 109, 131)","https://activategood.org/opportunity/4862#tab-what",FALSE
"10/08/19",12,"AIDS Walk and 5K Run",FALSE,TRUE,15,"(0,109,131)","https://activategood.org/opportunity/4853#tab-what",FALSE
