"date","address","link_num","words_in_link","is_image","image_width","bolded","font_size","font_color","dup","dup_after_first","image_assoc","link_char_flag","date_sent","clicks","link_click_flag","string","doc_prop","html_flag","color_name","color_name_rgb"
"02/01/19","https://activategood.org/opportunity/4374#tab-details",11,"Help Durham Teachers get free School Supplies!",FALSE,NA,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,1,"02/01/19 07:21:36",7,1,"Help Durham Teachers School Supplies",0.431654676258993,1,"Teal","Teal (0,109,131)"
"02/01/19","https://activategood.org/opportunity/4375#tab-what",8,"Cabinet Sales with Habitat Restore",FALSE,NA,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,1,"02/01/19 07:21:36",6,1,"Cabinet Sales Habitat Restore",0.251798561151079,1,"Teal","Teal (0,109,131)"
"02/01/19","https://activategood.org/opportunity/4380#tab-what",14,"Childcare at Families Moving Forward",FALSE,NA,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,1,"02/01/19 07:21:36",12,1,"Childcare Families Moving Forward",0.611510791366906,1,"Teal","Teal (0,109,131)"
"02/01/19","https://activategood.org/teenschangetheworld2019/",2,"",TRUE,199,FALSE,NA,NA,TRUE,FALSE,TRUE,1,"02/01/19 07:21:36",56,1,NA,NA,NA,NA,"NA NA"
"02/01/19","https://activategood.org/teenschangetheworld2019/",3,"",TRUE,199,FALSE,NA,NA,TRUE,TRUE,TRUE,1,"02/01/19 07:21:36",56,1,NA,NA,NA,NA,"NA NA"
"02/01/19","https://activategood.org/teenschangetheworld2019/",4,"",TRUE,199,FALSE,NA,NA,TRUE,TRUE,TRUE,1,"02/01/19 07:21:36",56,1,NA,NA,NA,NA,"NA NA"
"02/01/19","https://activategood.org/teenschangetheworld2019/",5,"Teens Change the World! Summer Program",FALSE,NA,TRUE,18,"(255,255,255)",TRUE,TRUE,TRUE,1,"02/01/19 07:21:36",56,1,"The Teens Change World Summer Program",0.100719424460432,1,"White","White (255,255,255)"
"02/01/19","https://activategood.org/teenschangetheworld2019/",6,"Registrations Now Open",FALSE,NA,FALSE,20,"(255,255,255)",TRUE,TRUE,TRUE,1,"02/01/19 07:21:36",56,1,"Registrations Now Open",0.151079136690647,1,"White","White (255,255,255)"
"02/01/19","https://activategood.org/teenschangetheworld2019/support/",7,"Donate here",FALSE,NA,TRUE,18,"(255,255,255)",FALSE,FALSE,FALSE,1,"02/01/19 07:21:36",3,1,"Also Help Teens Change World Donate",0.165467625899281,1,"White","White (255,255,255)"
"02/01/19","https://twitter.com/activategood",20,"",TRUE,65,FALSE,NA,NA,FALSE,FALSE,TRUE,1,"02/01/19 07:21:36",1,1,NA,NA,NA,NA,"NA NA"
"02/01/19","https://www.facebook.com/activategood/",19,"",TRUE,65,FALSE,NA,NA,FALSE,FALSE,TRUE,1,"02/01/19 07:21:36",1,1,NA,NA,NA,NA,"NA NA"
"02/01/19","https://www.instagram.com/activategood/",21,"",TRUE,65,FALSE,NA,NA,FALSE,FALSE,TRUE,1,"02/01/19 07:21:36",1,1,NA,NA,NA,NA,"NA NA"
"03/04/19","https://activategood.org/",1,"",TRUE,450,FALSE,NA,NA,TRUE,FALSE,TRUE,1,"03/04/19 07:03:41",4,1,NA,NA,NA,NA,"NA NA"
